Puzzle,Model,Time,Correct
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Brute Force Solver,731.9672ms,true
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Rule Based Solver,4.3667ms,true
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Iterative Deepening DFS Solver,25.9625ms,true
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,"Stochastic (T=10000, cooling=0.999)",6.2571596s,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,Brute Force Solver,188.8524ms,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,Rule Based Solver,3.5162ms,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,Iterative Deepening DFS Solver,15.1012ms,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,"Stochastic (T=10000, cooling=0.999)",3.2875511s,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,Brute Force Solver,184.034ms,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,Rule Based Solver,3.4806ms,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,Iterative Deepening DFS Solver,14.8037ms,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,"Stochastic (T=10000, cooling=0.999)",10.0229391s,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,Brute Force Solver,222.8114ms,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,Rule Based Solver,3.6998ms,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,Iterative Deepening DFS Solver,14.9932ms,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,"Stochastic (T=10000, cooling=0.999)",6.209729s,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,Brute Force Solver,185.0274ms,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,Rule Based Solver,3.6728ms,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,Iterative Deepening DFS Solver,15.5116ms,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,"Stochastic (T=10000, cooling=0.999)",3.301958s,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,Brute Force Solver,186.6589ms,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,Rule Based Solver,3.7412ms,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,Iterative Deepening DFS Solver,14.7736ms,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,"Stochastic (T=10000, cooling=0.999)",4.4985684s,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,Brute Force Solver,11.1456495s,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,Rule Based Solver,3.7714ms,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,Iterative Deepening DFS Solver,34.1701ms,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,"Stochastic (T=10000, cooling=0.999)",11.8610819s,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,Brute Force Solver,10.985795s,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,Rule Based Solver,3.5193ms,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,Iterative Deepening DFS Solver,36.3764ms,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,"Stochastic (T=10000, cooling=0.999)",6.2711606s,true
