Puzzle,Model,Time,Correct
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Brute Force Solver,2.5931496s,true
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Rule Based Solver,12.3059ms,true
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Constraint Programming Solver,924.9426ms,true
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,"Stochastic (T=10000, cooling=0.999)",3.9371605s,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,Brute Force Solver,1.1602737s,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,Rule Based Solver,2.6105ms,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,Constraint Programming Solver,962.2575ms,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,"Stochastic (T=10000, cooling=0.999)",3.646449s,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,Brute Force Solver,993.6475ms,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,Rule Based Solver,2.5936ms,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,Constraint Programming Solver,818.1102ms,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,"Stochastic (T=10000, cooling=0.999)",3.6597694s,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,Brute Force Solver,1.059305s,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,Rule Based Solver,4.8674ms,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,Constraint Programming Solver,938.6214ms,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,"Stochastic (T=10000, cooling=0.999)",6.8666326s,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,Brute Force Solver,1.0687689s,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,Rule Based Solver,2.5934ms,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,Constraint Programming Solver,931.1482ms,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,"Stochastic (T=10000, cooling=0.999)",2.1563051s,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,Brute Force Solver,983.6987ms,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,Rule Based Solver,2.5082ms,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,Constraint Programming Solver,799.2482ms,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,"Stochastic (T=10000, cooling=0.999)",3.605872s,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,Brute Force Solver,5.1395252s,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,Rule Based Solver,2.5394ms,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,Constraint Programming Solver,849.1669ms,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,"Stochastic (T=10000, cooling=0.999)",4.0211864s,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,Brute Force Solver,866.6645ms,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,Rule Based Solver,2.5868ms,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,Constraint Programming Solver,770.8402ms,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,"Stochastic (T=10000, cooling=0.999)",3.2734157s,true
