Puzzle,Model,Time,Correct
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Constraint Programming Solver,86.3755ms,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,Constraint Programming Solver,13.5415ms,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,Constraint Programming Solver,15.113ms,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,Constraint Programming Solver,14.7031ms,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,Constraint Programming Solver,17.1813ms,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,Constraint Programming Solver,15.4626ms,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,Constraint Programming Solver,136.9877ms,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,Constraint Programming Solver,90.9284ms,true
...............374.....986............4.1...7.6..489...7158..2..4.......5..73...1,Constraint Programming Solver,185.5743ms,true
...............5...48.6..2...9..37..75.4.2..8.2.58...3....25......7...9.1.....3..,Constraint Programming Solver,13.6592ms,true
...............5.94.3.9..1..2.....4.98..3.1.535.7........54.2..2....3........28.1,Constraint Programming Solver,150.2329ms,true
...............519....51724.............6..42.93..8..1..6.......791.3..6.3....45.,Constraint Programming Solver,14.2849ms,true
...............716...943..8..........81..5...53...48.1..........17....459..67..3.,Constraint Programming Solver,14.8118ms,true
..............1..26.4....97....6....3...2.......5842.1..6..9.5..2....7.8..7.....3,Constraint Programming Solver,13.4415ms,true
..............4....4.3.75.9.13....5......9..25.84....3............27839...41..28.,Constraint Programming Solver,59.3306ms,true
..............4.15.15..92.6...........1....987.9.3..5......1.......62.3...735.6..,Constraint Programming Solver,12.9781ms,true
..............6.1..769.4.53...........8....7.21..4..9.........9.63..15...47.28.6.,Constraint Programming Solver,63.8077ms,true
..............7..9854..2....9.........8..9..7...2.1.5..............78231.71.6..84,Constraint Programming Solver,14.0279ms,true
..............72.92.145..8..........3....9....2..8.461..............8..37.4.1362.,Constraint Programming Solver,13.9816ms,true
..............8.17..1.52.4......7.........5.9759....846.........8.....2..25.1.39.,Constraint Programming Solver,13.2413ms,true
..............8.27..491.....6.............3..3.1.9.84..5942...64....5.......8..75,Constraint Programming Solver,78.4528ms,true
..............8.79.183....6..9..2...2.....4..5..4...63....25...7.....64.9.....1.5,Constraint Programming Solver,14.2175ms,true
..............82.7..1.74.3.........6...4...7..64.2981...9.......3..82..5...5...6.,Constraint Programming Solver,13.5582ms,true
..............9....9.2.7.68......7...3.1....586.....92.....3.4.7...6.....29.8.5.1,Constraint Programming Solver,14.0563ms,true
..............9.3827.51..9.4..3..9....1...3....7..5..2.9..32.8658.1..............,Constraint Programming Solver,14.3416ms,true
..............9831.9283.5.....2.....7......8...1.95...........31....7..6..3...24.,Constraint Programming Solver,15.9401ms,true
.............1.5.3.43.....2....93....57..2..99.6.8..51.............38..741....9.5,Constraint Programming Solver,13.2222ms,true
.............198..7.83.2.1............312.4....1..59.....4....3...7.8.2.59....7..,Constraint Programming Solver,103.1636ms,true
.............2..5.1.7....96..........4..9..8731..82.........8....2.63.....65..9.3,Constraint Programming Solver,15.5842ms,true
.............29.8..74..5..2.......1.9.3..7...6.7.3..48....9...3.65.......4.2..6..,Constraint Programming Solver,15.3239ms,true
.............37.48.7..84.12.....9....3..1..7..6....8....5..1....8..4......38..6.5,Constraint Programming Solver,107.8726ms,true
.............7....2.7....89.8...1.65.2.48......6...3..5..9.......864..7...3.1.6..,Constraint Programming Solver,16.1118ms,true
.............7...1.368.94...9...2..31.36....5.6..8.2...1.............32...5.346..,Constraint Programming Solver,78.5651ms,true
.............7..92..52.4.63...........2....5...7842.......3.1..1..4.....39.6.7..4,Constraint Programming Solver,13.8124ms,true
