Puzzle,Model,Time,Correct
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Rule Based Solver,1.5090882s,true
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Rule Based Solver,277.9056ms,true
............942.8.16.....29........89.6.....14..25......4.......2...8.9..5....7..,Rule Based Solver,225.2684ms,true
.....7....9...1.......45..6....2.....36...41.5.....8.9........4....18....815...32,Rule Based Solver,1.0682439s,true
.5247.....6............8.1.4.......97..95.....2..4..3....8...9......37.6....91...,Rule Based Solver,225.8426ms,true
.9.........1..6....6..8..7.3......1.....39.......5...217.4...28.....3....86....57,Rule Based Solver,224.5653ms,true
.....5....2...4.1..3..8..2......84..8..6......9..1.7.5..6......95...3.6...3.....1,Rule Based Solver,712.932ms,true
5...68..........6..42.5.......8..9....1....4.9.3...62.7....1..9..42....3.8.......,Rule Based Solver,224.9746ms,true
.7..21..4....3....6.1.....2.......6...86..7.319.....4..1....2.842.9..............,Rule Based Solver,221.5874ms,true
........1..7.5.3.9..48...2...........3...57....942.........3.....1...4.7.6.278...,Rule Based Solver,225ms,true
.....8..3.16.2.9.7.3...46...........9.5...2...2.13...9..3....2..7...5.........4..,Rule Based Solver,279.7956ms,true
..4.2..3....8.9.........7...5..37..8........5.49.6..1.5.........68........7.4.9.1,Rule Based Solver,70.3188098s,true
.....6..3..9.4...532......8....1......175.6.92......8.....6.......8...4.47....2..,Rule Based Solver,232.943ms,true
.....8.2......693..98.7...1...........921....7......9624..9.......3..18.........3,Rule Based Solver,303.297ms,true
..2.46.....4.8...5.7..3...9.....2...3.57.....7.....4....6....93....54.78.........,Rule Based Solver,264.7476ms,true
..3....4.4..2.........9..26....7.....1.9.2...26......85....7.......6.8.33......69,Rule Based Solver,515.6183ms,true
........3..5..2.14....8..6..........946.......3...42.6...7.........3.68..7.291...,Rule Based Solver,2.3687511s,true
.2............48...54.18.3.7....1..4....86.5.......6........1......2...923.4....5,Rule Based Solver,226.9017ms,true
..9.43..........3.41..7.............8..5...6..4...6..2.......1...4.98..67..6..52.,Rule Based Solver,222.2021ms,true
.........4.6.7..9..5..382.........3.9..........426.....7...3..2..16..8...85...7..,Rule Based Solver,217.9349ms,true
...6.4...........3.1...26....2......6...9..158.4.....6.....7...976.5.......2.31..,Rule Based Solver,220.3329ms,true
....4.....5......9..3.784....1......62..........5.38......2......64..7.34.51...2.,Rule Based Solver,217.0611ms,true
...3.56....68..3...4.............8.5.5....412...9.......3.9........8..6..196.45..,Rule Based Solver,283.1706ms,true
.2...7..5.........6...95..1.7...413.......2....1.5...67...1.8...8..7.......2...49,Rule Based Solver,1.0067916s,true
...5....3...82...13....179.17.............3..6..712.4..4..6.....9........6..5.2..,Rule Based Solver,221.095ms,true
3......4...2..8....912...3...5.1..8..64.9.........5..618.7............65.7.9.....,Rule Based Solver,375.299ms,true
....4....1..9..64..3....8....7.........1.859.......3...52..1....1.7.3...39..5...4,Rule Based Solver,3.0280112s,true
4....9.....541...3........7.......2..31.7...89.6..3.......9....1..6...8...75...46,Rule Based Solver,499.8767ms,true
