Puzzle,Model,Time,Correct
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Brute Force Solver,206.6803ms,true
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Rule Based Solver,2.6934ms,true
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,Constraint Programming Solver,23.5434ms,true
.94...13..............76..2.8..1.....32.........2...6.....5.4.......8..7..63.4..8,"Stochastic (T=10000, cooling=0.999)",2.6619422s,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,Brute Force Solver,128.6401ms,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,Rule Based Solver,2.6575ms,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,Constraint Programming Solver,13.8261ms,true
.................85.7.1..2...........3...6.....9..523..6...3.1...18...54.4.69...7,"Stochastic (T=10000, cooling=0.999)",3.7788898s,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,Brute Force Solver,122.7786ms,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,Rule Based Solver,2.4872ms,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,Constraint Programming Solver,13.6092ms,true
................1.5...3.2....7........3.5.62.4..1685.7..8..1....39.26.8.....7...6,"Stochastic (T=10000, cooling=0.999)",3.1596132s,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,Brute Force Solver,120.3934ms,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,Rule Based Solver,2.56ms,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,Constraint Programming Solver,14.448ms,true
................246..3.8.7............5.2..983.85..24......3.....7.46...9.6..78.1,"Stochastic (T=10000, cooling=0.999)",4.9460808s,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,Brute Force Solver,121.9457ms,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,Rule Based Solver,2.457ms,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,Constraint Programming Solver,13.6371ms,true
................361.28......75.4.........194...45..2...4...3.6..6.7.2......1..5..,"Stochastic (T=10000, cooling=0.999)",3.7760673s,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,Brute Force Solver,121.879ms,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,Rule Based Solver,2.5269ms,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,Constraint Programming Solver,13.9049ms,true
................7..34.9..21..3.4.....978......1....38......1.3..6.5....48..6.35.7,"Stochastic (T=10000, cooling=0.999)",2.7522462s,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,Brute Force Solver,5.1666718s,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,Rule Based Solver,2.4242ms,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,Constraint Programming Solver,24.6405ms,true
...............127..9..253............4...981.8.754.............6..89..34731.5...,"Stochastic (T=10000, cooling=0.999)",2.7974091s,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,Brute Force Solver,4.109554s,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,Rule Based Solver,2.4064ms,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,Constraint Programming Solver,24.5474ms,true
...............3282.37.8..5......9.147.1.5.863.6......5..6.41.9791...............,"Stochastic (T=10000, cooling=0.999)",3.4114186s,true
...............374.....986............4.1...7.6..489...7158..2..4.......5..73...1,Brute Force Solver,1065.4647104s,true
...............374.....986............4.1...7.6..489...7158..2..4.......5..73...1,Rule Based Solver,2.5229ms,true
...............374.....986............4.1...7.6..489...7158..2..4.......5..73...1,Constraint Programming Solver,50.2629ms,true
...............374.....986............4.1...7.6..489...7158..2..4.......5..73...1,"Stochastic (T=10000, cooling=0.999)",6.806966s,true
...............5...48.6..2...9..37..75.4.2..8.2.58...3....25......7...9.1.....3..,Brute Force Solver,138.4391ms,true
...............5...48.6..2...9..37..75.4.2..8.2.58...3....25......7...9.1.....3..,Rule Based Solver,2.468ms,true
...............5...48.6..2...9..37..75.4.2..8.2.58...3....25......7...9.1.....3..,Constraint Programming Solver,13.6546ms,true
...............5...48.6..2...9..37..75.4.2..8.2.58...3....25......7...9.1.....3..,"Stochastic (T=10000, cooling=0.999)",3.4353402s,true
...............5.94.3.9..1..2.....4.98..3.1.535.7........54.2..2....3........28.1,Brute Force Solver,1337.4098565s,true
...............5.94.3.9..1..2.....4.98..3.1.535.7........54.2..2....3........28.1,Rule Based Solver,2.5449ms,true
...............5.94.3.9..1..2.....4.98..3.1.535.7........54.2..2....3........28.1,Constraint Programming Solver,59.72ms,true
...............5.94.3.9..1..2.....4.98..3.1.535.7........54.2..2....3........28.1,"Stochastic (T=10000, cooling=0.999)",2.6070559s,true
...............519....51724.............6..42.93..8..1..6.......791.3..6.3....45.,Brute Force Solver,142.4588ms,true
...............519....51724.............6..42.93..8..1..6.......791.3..6.3....45.,Rule Based Solver,2.4937ms,true
...............519....51724.............6..42.93..8..1..6.......791.3..6.3....45.,Constraint Programming Solver,13.8336ms,true
...............519....51724.............6..42.93..8..1..6.......791.3..6.3....45.,"Stochastic (T=10000, cooling=0.999)",5.5796022s,true
...............716...943..8..........81..5...53...48.1..........17....459..67..3.,Brute Force Solver,149.0675ms,true
...............716...943..8..........81..5...53...48.1..........17....459..67..3.,Rule Based Solver,2.4912ms,true
...............716...943..8..........81..5...53...48.1..........17....459..67..3.,Constraint Programming Solver,14.0726ms,true
...............716...943..8..........81..5...53...48.1..........17....459..67..3.,"Stochastic (T=10000, cooling=0.999)",3.7331199s,true
..............1..26.4....97....6....3...2.......5842.1..6..9.5..2....7.8..7.....3,Brute Force Solver,153.1914ms,true
..............1..26.4....97....6....3...2.......5842.1..6..9.5..2....7.8..7.....3,Rule Based Solver,2.5101ms,true
..............1..26.4....97....6....3...2.......5842.1..6..9.5..2....7.8..7.....3,Constraint Programming Solver,13.7966ms,true
..............1..26.4....97....6....3...2.......5842.1..6..9.5..2....7.8..7.....3,"Stochastic (T=10000, cooling=0.999)",2.7072211s,true
..............4....4.3.75.9.13....5......9..25.84....3............27839...41..28.,Brute Force Solver,291.0776ms,true
..............4....4.3.75.9.13....5......9..25.84....3............27839...41..28.,Rule Based Solver,2.5498ms,true
..............4....4.3.75.9.13....5......9..25.84....3............27839...41..28.,Constraint Programming Solver,24.5204ms,true
..............4....4.3.75.9.13....5......9..25.84....3............27839...41..28.,"Stochastic (T=10000, cooling=0.999)",2.9254605s,true
..............4.15.15..92.6...........1....987.9.3..5......1.......62.3...735.6..,Brute Force Solver,143.7685ms,true
..............4.15.15..92.6...........1....987.9.3..5......1.......62.3...735.6..,Rule Based Solver,5.0858ms,true
..............4.15.15..92.6...........1....987.9.3..5......1.......62.3...735.6..,Constraint Programming Solver,14.5815ms,true
..............4.15.15..92.6...........1....987.9.3..5......1.......62.3...735.6..,"Stochastic (T=10000, cooling=0.999)",3.9614027s,true
..............6.1..769.4.53...........8....7.21..4..9.........9.63..15...47.28.6.,Brute Force Solver,1.1309155s,true
..............6.1..769.4.53...........8....7.21..4..9.........9.63..15...47.28.6.,Rule Based Solver,2.5374ms,true
..............6.1..769.4.53...........8....7.21..4..9.........9.63..15...47.28.6.,Constraint Programming Solver,25.2707ms,true
..............6.1..769.4.53...........8....7.21..4..9.........9.63..15...47.28.6.,"Stochastic (T=10000, cooling=0.999)",5.5570304s,true
..............7..9854..2....9.........8..9..7...2.1.5..............78231.71.6..84,Brute Force Solver,146.4057ms,true
..............7..9854..2....9.........8..9..7...2.1.5..............78231.71.6..84,Rule Based Solver,2.5351ms,true
..............7..9854..2....9.........8..9..7...2.1.5..............78231.71.6..84,Constraint Programming Solver,13.8654ms,true
..............7..9854..2....9.........8..9..7...2.1.5..............78231.71.6..84,"Stochastic (T=10000, cooling=0.999)",3.2710778s,true
